Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total,Team,Season,GameNum,GameNumBand,HorA
"Oct 27, 2017",vs Denver,REG,L,105-100,W,7.5,U,210.0,ATL,2018,6,<=10,Home
"Oct 29, 2017",vs Milwaukee,REG,L,117-106,L,5.5,O,199.5,ATL,2018,7,<=10,Home
"Nov 3, 2017",vs Houston,REG,L,119-104,L,9.0,O,213.5,ATL,2018,9,<=10,Home
"Nov 6, 2017",vs Boston,REG,L,110-107,W,8.0,O,203.5,ATL,2018,11,<=25,Home
"Nov 15, 2017",vs Sacramento,REG,W,126-80,W,-5.0,O,205.0,ATL,2018,15,<=25,Home
"Nov 18, 2017",vs Boston,REG,L,110-99,L,6.0,O,202.5,ATL,2018,16,<=25,Home
"Nov 22, 2017",vs LA Clippers,REG,L,116-103,L,3.0,O,209.0,ATL,2018,18,<=25,Home
"Nov 24, 2017",vs New York,REG,W,116-104,W,-2.0,O,207.0,ATL,2018,19,<=25,Home
"Nov 25, 2017",vs Toronto,REG,L,112-78,L,6.5,U,208.5,ATL,2018,20,<=25,Home
"Nov 30, 2017",vs Cleveland,REG,L,121-114,W,7.5,O,217.5,ATL,2018,21,<=25,Home
"Dec 4, 2017",vs Brooklyn,REG,L,110-90,L,-1.0,U,222.0,ATL,2018,23,<=25,Home
"Dec 9, 2017",vs Orlando,REG,W,117-110,W,-5.0,O,208.5,ATL,2018,25,<=25,Home
"Dec 14, 2017",vs Detroit,REG,L,105-91,L,4.0,U,205.5,ATL,2018,28,<=40,Home
"Dec 18, 2017",vs Miami,REG,W,110-104,W,-2.0,O,201.5,ATL,2018,30,<=40,Home
"Dec 20, 2017",vs Indiana,REG,L,105-95,L,4.5,U,213.0,ATL,2018,31,<=40,Home
"Dec 23, 2017",vs Dallas,REG,W,112-107,W,1.5,O,203.0,ATL,2018,33,<=40,Home
"Dec 27, 2017",vs Washington,REG,W,113-99,W,6.0,U,214.0,ATL,2018,34,<=40,Home
"Dec 30, 2017",vs Portland,REG,W,104-89,W,2.5,U,204.0,ATL,2018,36,<=40,Home
"Jan 12, 2018",vs Brooklyn,REG,L,110-105,L,-3.0,O,211.0,ATL,2018,42,>40,Home
"Jan 15, 2018",vs San Antonio,REG,W,102-99,W,5.5,U,201.5,ATL,2018,43,>40,Home
"Jan 17, 2018",vs New Orleans,REG,W,94-93,W,2.5,U,219.5,ATL,2018,44,>40,Home
"Jan 20, 2018",vs Chicago,REG,L,113-97,L,-2.0,U,216.0,ATL,2018,45,>40,Home
"Jan 22, 2018",vs Utah,REG,W,104-90,W,2.5,U,204.0,ATL,2018,46,>40,Home
"Jan 24, 2018",vs Toronto,REG,L,108-93,L,6.5,U,214.5,ATL,2018,47,>40,Home
"Jan 27, 2018",vs Washington,REG,L,129-104,L,3.5,O,211.5,ATL,2018,49,>40,Home
"Jan 29, 2018",vs Minnesota,REG,W,105-100,W,6.5,U,213.0,ATL,2018,50,>40,Home
"Jan 31, 2018",vs Charlotte,REG,L,123-110,L,2.5,O,210.5,ATL,2018,51,>40,Home
"Feb 6, 2018",vs Memphis,REG,W,108-82,W,-3.0,U,203.5,ATL,2018,54,>40,Home
"Feb 9, 2018",vs Cleveland,REG,L,123-107,L,2.0,O,212.5,ATL,2018,56,>40,Home
"Feb 11, 2018",vs Detroit,REG,W,118-115,W,4.0,O,208.5,ATL,2018,57,>40,Home
"Feb 26, 2018",vs LA Lakers,REG,L,123-104,L,2.0,O,221.0,ATL,2018,61,>40,Home
"Feb 28, 2018",vs Indiana,REG,W,107-102,W,4.5,U,213.5,ATL,2018,62,>40,Home
"Mar 2, 2018",vs Golden State,REG,L,114-109,W,13.0,U,227.5,ATL,2018,63,>40,Home
"Mar 4, 2018",vs Phoenix,REG,W,113-112,L,-1.5,P,225.0,ATL,2018,64,>40,Home
"Mar 11, 2018",vs Chicago,REG,L,129-122,L,-2.0,O,213.5,ATL,2018,67,>40,Home
"Mar 13, 2018",vs Oklahoma City,REG,L,119-107,L,6.0,O,216.5,ATL,2018,68,>40,Home
"Mar 15, 2018",vs Charlotte,REG,L,129-117,L,5.5,O,219.0,ATL,2018,69,>40,Home
"Mar 30, 2018",vs Philadelphia,REG,L,101-91,L,8.0,U,223.0,ATL,2018,76,>40,Home
"Apr 1, 2018",vs Orlando,REG,W,94-88,W,-1.5,U,209.0,ATL,2018,77,>40,Home
"Apr 4, 2018",vs Miami,REG,L,115-86,L,7.0,U,207.0,ATL,2018,79,>40,Home
"Apr 10, 2018",vs Philadelphia,REG,L,121-113,W,10.0,O,221.0,ATL,2018,82,>40,Home
"Oct 18, 2017",vs Milwaukee,REG,L,108-100,L,-1.5,O,204.0,BOS,2018,2,<=10,Home
"Oct 24, 2017",vs New York,REG,W,110-89,W,-7.0,U,208.0,BOS,2018,4,<=10,Home
"Oct 30, 2017",vs San Antonio,REG,W,108-94,W,-4.0,O,193.5,BOS,2018,7,<=10,Home
"Nov 1, 2017",vs Sacramento,REG,W,113-86,W,-12.0,O,195.0,BOS,2018,8,<=10,Home
"Nov 8, 2017",vs LA Lakers,REG,W,107-96,W,-6.5,U,215.0,BOS,2018,12,<=25,Home
"Nov 10, 2017",vs Charlotte,REG,W,90-87,P,-3.0,U,204.0,BOS,2018,13,<=25,Home
"Nov 12, 2017",vs Toronto,REG,W,95-94,W,3.5,U,202.0,BOS,2018,14,<=25,Home
"Nov 16, 2017",vs Golden State,REG,W,92-88,W,7.0,U,218.0,BOS,2018,16,<=25,Home
"Nov 24, 2017",vs Orlando,REG,W,118-103,W,-6.5,O,208.5,BOS,2018,20,<=25,Home
"Nov 27, 2017",vs Detroit,REG,L,118-108,L,-6.0,O,198.5,BOS,2018,22,<=25,Home
"Nov 30, 2017",vs Philadelphia,REG,W,108-97,W,-8.0,U,211.5,BOS,2018,23,<=25,Home
"Dec 2, 2017",vs Phoenix,REG,W,116-111,L,-12.0,O,216.0,BOS,2018,24,<=25,Home
"Dec 4, 2017",vs Milwaukee,REG,W,111-100,W,-4.5,O,203.5,BOS,2018,25,<=25,Home
"Dec 6, 2017",vs Dallas,REG,W,97-90,L,-8.0,U,201.5,BOS,2018,26,<=40,Home
"Dec 13, 2017",vs Denver,REG,W,124-118,P,-6.0,O,208.0,BOS,2018,30,<=40,Home
"Dec 15, 2017",vs Utah,REG,L,107-95,L,-4.5,O,197.5,BOS,2018,31,<=40,Home
"Dec 20, 2017",vs Miami,REG,L,90-89,L,-9.0,U,199.5,BOS,2018,34,<=40,Home
"Dec 23, 2017",vs Chicago,REG,W,117-92,W,-8.0,O,204.5,BOS,2018,36,<=40,Home
"Dec 25, 2017",vs Washington,REG,L,111-103,L,-4.0,O,208.5,BOS,2018,37,<=40,Home
"Dec 28, 2017",vs Houston,REG,W,99-98,W,2.0,U,216.5,BOS,2018,39,<=40,Home
"Dec 31, 2017",vs Brooklyn,REG,W,108-105,L,-9.5,O,209.5,BOS,2018,40,<=40,Home
"Jan 3, 2018",vs Cleveland,REG,W,102-88,W,-3.0,U,212.5,BOS,2018,41,>40,Home
"Jan 5, 2018",vs Minnesota,REG,W,91-84,W,-3.0,U,210.5,BOS,2018,42,>40,Home
"Jan 16, 2018",vs New Orleans,REG,L,116-113,L,-5.5,O,213.5,BOS,2018,45,>40,Home
"Jan 18, 2018",vs Philadelphia,REG,L,89-80,L,-3.0,U,203.5,BOS,2018,46,>40,Home
"Jan 21, 2018",vs Orlando,REG,L,103-95,L,-10.5,U,209.0,BOS,2018,47,>40,Home
"Jan 31, 2018",vs New York,REG,W,103-73,W,-5.5,U,201.5,BOS,2018,52,>40,Home
"Feb 2, 2018",vs Atlanta,REG,W,119-110,W,-7.0,O,200.0,BOS,2018,53,>40,Home
"Feb 4, 2018",vs Portland,REG,W,97-96,W,2.0,U,199.0,BOS,2018,54,>40,Home
"Feb 9, 2018",vs Indiana,REG,L,97-91,L,-4.0,U,203.5,BOS,2018,57,>40,Home
"Feb 11, 2018",vs Cleveland,REG,L,121-99,L,-5.0,O,212.0,BOS,2018,58,>40,Home
"Feb 14, 2018",vs LA Clippers,REG,L,129-119,L,-5.0,O,212.0,BOS,2018,59,>40,Home
"Feb 26, 2018",vs Memphis,REG,W,109-98,L,-11.5,O,204.0,BOS,2018,62,>40,Home
"Feb 28, 2018",vs Charlotte,REG,W,134-106,W,-7.5,O,211.0,BOS,2018,63,>40,Home
"Mar 11, 2018",vs Indiana,REG,L,99-97,L,-4.5,U,209.0,BOS,2018,67,>40,Home
"Mar 14, 2018",vs Washington,REG,L,125-124,W,4.0,O,201.5,BOS,2018,68,>40,Home
"Mar 20, 2018",vs Oklahoma City,REG,W,100-99,W,5.0,U,208.0,BOS,2018,71,>40,Home
"Mar 31, 2018",vs Toronto,REG,W,110-99,W,4.5,O,206.0,BOS,2018,76,>40,Home
"Apr 6, 2018",vs Chicago,REG,W,111-104,W,-6.0,O,203.5,BOS,2018,79,>40,Home
"Apr 8, 2018",vs Atlanta,REG,L,112-106,L,-9.5,O,201.0,BOS,2018,80,>40,Home
"Apr 11, 2018",vs Brooklyn,REG,W,110-97,W,4.5,O,205.5,BOS,2018,82,>40,Home
"Apr 15, 2018",vs Milwaukee,PST,W,113-107,W,-4.0,O,200.0,BOS,2018,83,>40,Home
"Apr 17, 2018",vs Milwaukee,PST,W,120-106,W,-1.0,O,200.0,BOS,2018,84,>40,Home
"Apr 24, 2018",vs Milwaukee,PST,W,92-87,W,-4.5,U,202.5,BOS,2018,87,>40,Home
"Apr 28, 2018",vs Milwaukee,PST,W,112-96,W,-5.0,O,195.5,BOS,2018,89,>40,Home
"Apr 30, 2018",vs Philadelphia,PST,W,117-101,W,5.0,O,205.0,BOS,2018,90,>40,Home
"May 3, 2018",vs Philadelphia,PST,W,108-103,W,3.5,O,206.5,BOS,2018,91,>40,Home
"May 9, 2018",vs Philadelphia,PST,W,114-112,W,-1.5,O,204.5,BOS,2018,94,>40,Home
"May 13, 2018",vs Cleveland,PST,W,108-83,W,1.0,U,204.5,BOS,2018,95,>40,Home
"May 15, 2018",vs Cleveland,PST,W,107-94,W,0.0,U,205.5,BOS,2018,96,>40,Home
"May 23, 2018",vs Cleveland,PST,W,96-83,W,-1.5,U,204.5,BOS,2018,99,>40,Home
"May 27, 2018",vs Cleveland,PST,L,87-79,L,-2.5,U,197.0,BOS,2018,101,>40,Home
"Oct 20, 2017",vs Orlando,REG,W,126-121,W,-2.0,O,226.5,BRK,2018,2,<=10,Home
"Oct 22, 2017",vs Atlanta,REG,W,116-104,W,-1.5,P,220.0,BRK,2018,3,<=10,Home
"Oct 25, 2017",vs Cleveland,REG,W,112-107,W,8.0,U,223.5,BRK,2018,5,<=10,Home
"Oct 29, 2017",vs Denver,REG,L,124-111,L,5.5,O,222.5,BRK,2018,7,<=10,Home
"Oct 31, 2017",vs Phoenix,REG,L,122-114,L,-4.0,O,230.0,BRK,2018,8,<=10,Home
"Nov 14, 2017",vs Boston,REG,L,109-102,L,6.5,O,209.5,BRK,2018,14,<=25,Home
"Nov 17, 2017",vs Utah,REG,W,118-107,W,-2.0,O,209.0,BRK,2018,15,<=25,Home
"Nov 19, 2017",vs Golden State,REG,L,118-111,W,11.5,U,230.5,BRK,2018,16,<=25,Home
"Nov 24, 2017",vs Portland,REG,L,127-125,W,5.0,O,210.5,BRK,2018,18,<=25,Home
"Dec 2, 2017",vs Atlanta,REG,L,114-102,L,-4.5,U,217.0,BRK,2018,22,<=25,Home
"Dec 7, 2017",vs Oklahoma City,REG,W,100-95,W,7.0,U,215.5,BRK,2018,24,<=25,Home
"Dec 9, 2017",vs Miami,REG,L,101-89,L,2.5,U,212.5,BRK,2018,25,<=25,Home
"Dec 12, 2017",vs Washington,REG,W,103-98,W,3.5,U,213.5,BRK,2018,26,<=40,Home
"Dec 14, 2017",vs New York,REG,L,111-104,L,-1.5,O,213.0,BRK,2018,27,<=40,Home
"Dec 17, 2017",vs Indiana,REG,L,109-97,L,3.5,U,219.5,BRK,2018,29,<=40,Home
"Dec 20, 2017",vs Sacramento,REG,L,104-99,L,-5.5,U,206.0,BRK,2018,30,<=40,Home
"Dec 22, 2017",vs Washington,REG,W,119-84,W,6.0,U,215.5,BRK,2018,31,<=40,Home
"Jan 1, 2018",vs Orlando,REG,W,98-95,W,-1.5,U,219.0,BRK,2018,37,<=40,Home
"Jan 3, 2018",vs Minnesota,REG,W,98-97,W,6.0,U,211.5,BRK,2018,38,<=40,Home
"Jan 6, 2018",vs Boston,REG,L,87-85,W,3.0,U,205.5,BRK,2018,39,<=40,Home
"Jan 8, 2018",vs Toronto,REG,L,114-113,W,7.5,O,218.0,BRK,2018,40,<=40,Home
"Jan 10, 2018",vs Detroit,REG,L,114-80,L,2.0,U,206.0,BRK,2018,41,>40,Home
"Jan 15, 2018",vs New York,REG,L,119-104,L,-3.5,O,211.0,BRK,2018,44,>40,Home
"Jan 17, 2018",vs San Antonio,REG,L,100-95,P,5.0,U,204.5,BRK,2018,45,>40,Home
"Jan 19, 2018",vs Miami,REG,W,101-95,W,3.0,U,206.5,BRK,2018,46,>40,Home
"Jan 31, 2018",vs Philadelphia,REG,W,116-108,W,8.0,O,213.0,BRK,2018,52,>40,Home
"Feb 2, 2018",vs LA Lakers,REG,L,102-99,L,-1.0,U,217.5,BRK,2018,53,>40,Home
"Feb 4, 2018",vs Milwaukee,REG,L,109-94,L,4.5,U,207.0,BRK,2018,54,>40,Home
"Feb 6, 2018",vs Houston,REG,L,123-113,W,11.0,O,218.5,BRK,2018,55,>40,Home
"Feb 10, 2018",vs New Orleans,REG,L,138-128,L,2.5,O,220.5,BRK,2018,57,>40,Home
"Feb 12, 2018",vs LA Clippers,REG,L,114-101,L,4.5,U,221.5,BRK,2018,58,>40,Home
"Feb 14, 2018",vs Indiana,REG,L,108-103,L,3.5,U,211.5,BRK,2018,59,>40,Home
"Feb 26, 2018",vs Chicago,REG,W,104-87,W,-4.5,U,216.0,BRK,2018,61,>40,Home
"Mar 11, 2018",vs Philadelphia,REG,L,120-97,L,5.5,U,219.0,BRK,2018,67,>40,Home
"Mar 13, 2018",vs Toronto,REG,L,116-102,L,9.0,U,218.5,BRK,2018,68,>40,Home
"Mar 17, 2018",vs Dallas,REG,W,114-106,W,-4.5,O,211.5,BRK,2018,70,>40,Home
"Mar 19, 2018",vs Memphis,REG,W,118-115,L,-8.0,O,211.0,BRK,2018,71,>40,Home
"Mar 21, 2018",vs Charlotte,REG,L,111-105,L,1.0,U,221.5,BRK,2018,72,>40,Home
"Mar 25, 2018",vs Cleveland,REG,L,121-114,L,6.5,O,228.5,BRK,2018,74,>40,Home
"Apr 1, 2018",vs Detroit,REG,L,108-96,L,0.0,U,212.5,BRK,2018,77,>40,Home
"Apr 9, 2018",vs Chicago,REG,W,114-105,W,-6.5,O,218.5,BRK,2018,81,>40,Home
"Oct 21, 2017",vs San Antonio,REG,L,87-77,W,10.5,U,200.0,CHI,2018,2,<=10,Home
"Oct 26, 2017",vs Atlanta,REG,W,91-86,W,-2.0,U,200.0,CHI,2018,4,<=10,Home
"Oct 28, 2017",vs Oklahoma City,REG,L,101-69,L,8.5,U,203.5,CHI,2018,5,<=10,Home
"Nov 4, 2017",vs New Orleans,REG,L,96-90,L,5.5,U,199.5,CHI,2018,8,<=10,Home
"Nov 10, 2017",vs Indiana,REG,L,105-87,L,3.5,U,202.0,CHI,2018,10,<=10,Home
"Nov 17, 2017",vs Charlotte,REG,W,123-120,W,6.5,O,198.5,CHI,2018,13,<=25,Home
"Nov 26, 2017",vs Miami,REG,L,100-93,W,7.5,U,194.5,CHI,2018,18,<=25,Home
"Nov 28, 2017",vs Phoenix,REG,L,104-99,L,-1.0,U,213.0,CHI,2018,19,<=25,Home
"Dec 1, 2017",vs Sacramento,REG,L,107-106,P,1.0,O,195.5,CHI,2018,21,<=25,Home
"Dec 4, 2017",vs Cleveland,REG,L,113-91,L,9.0,U,210.0,CHI,2018,22,<=25,Home
"Dec 9, 2017",vs New York,REG,W,104-102,W,3.5,O,199.5,CHI,2018,25,<=25,Home
"Dec 11, 2017",vs Boston,REG,W,108-85,W,5.5,U,193.5,CHI,2018,26,<=40,Home
"Dec 13, 2017",vs Utah,REG,W,103-100,W,5.5,O,196.5,CHI,2018,27,<=40,Home
"Dec 18, 2017",vs Philadelphia,REG,W,117-115,W,2.0,O,209.5,CHI,2018,29,<=40,Home
"Dec 20, 2017",vs Orlando,REG,W,112-94,W,-5.0,U,210.5,CHI,2018,30,<=40,Home
"Dec 27, 2017",vs New York,REG,W,92-87,W,-1.5,U,208.0,CHI,2018,34,<=40,Home
"Dec 29, 2017",vs Indiana,REG,W,119-107,W,-3.0,O,206.5,CHI,2018,35,<=40,Home
"Jan 1, 2018",vs Portland,REG,L,124-120,L,-3.0,O,201.5,CHI,2018,37,<=40,Home
"Jan 3, 2018",vs Toronto,REG,L,124-115,L,4.5,O,217.0,CHI,2018,38,<=40,Home
"Jan 8, 2018",vs Houston,REG,L,116-107,L,6.0,O,220.0,CHI,2018,41,>40,Home
"Jan 13, 2018",vs Detroit,REG,W,107-105,W,1.0,O,209.5,CHI,2018,43,>40,Home
"Jan 15, 2018",vs Miami,REG,W,119-111,W,-1.5,O,206.5,CHI,2018,44,>40,Home
"Jan 17, 2018",vs Golden State,REG,L,119-112,W,8.5,U,232.5,CHI,2018,45,>40,Home
"Jan 26, 2018",vs LA Lakers,REG,L,108-103,L,-4.0,U,222.5,CHI,2018,49,>40,Home
"Jan 28, 2018",vs Milwaukee,REG,L,110-96,L,2.5,U,214.5,CHI,2018,50,>40,Home
"Feb 9, 2018",vs Minnesota,REG,W,114-113,W,7.5,O,216.0,CHI,2018,54,>40,Home
"Feb 10, 2018",vs Washington,REG,L,101-90,L,5.5,U,213.5,CHI,2018,55,>40,Home
"Feb 12, 2018",vs Orlando,REG,W,105-101,L,-5.0,U,212.5,CHI,2018,56,>40,Home
"Feb 14, 2018",vs Toronto,REG,L,122-98,L,7.0,O,219.5,CHI,2018,57,>40,Home
"Feb 22, 2018",vs Philadelphia,REG,L,116-115,W,7.5,O,213.5,CHI,2018,58,>40,Home
"Mar 2, 2018",vs Dallas,REG,W,108-100,W,2.5,U,215.0,CHI,2018,62,>40,Home
"Mar 5, 2018",vs Boston,REG,L,105-89,L,7.0,U,209.5,CHI,2018,63,>40,Home
"Mar 7, 2018",vs Memphis,REG,W,119-110,W,-3.5,O,211.0,CHI,2018,64,>40,Home
"Mar 13, 2018",vs LA Clippers,REG,L,112-106,W,7.5,U,224.5,CHI,2018,67,>40,Home
"Mar 17, 2018",vs Cleveland,REG,L,114-109,W,7.0,O,222.0,CHI,2018,69,>40,Home
"Mar 21, 2018",vs Denver,REG,L,135-102,L,9.0,O,216.0,CHI,2018,71,>40,Home
"Mar 23, 2018",vs Milwaukee,REG,L,118-105,L,4.5,O,217.0,CHI,2018,72,>40,Home
"Apr 1, 2018",vs Washington,REG,W,113-94,W,7.5,O,206.5,CHI,2018,77,>40,Home
"Apr 3, 2018",vs Charlotte,REG,W,120-114,W,5.5,O,215.0,CHI,2018,78,>40,Home
"Apr 7, 2018",vs Brooklyn,REG,L,124-96,L,5.5,U,221.0,CHI,2018,80,>40,Home
"Apr 11, 2018",vs Detroit,REG,L,119-87,L,5.0,U,213.0,CHI,2018,82,>40,Home
"Oct 20, 2017",vs Atlanta,REG,W,109-91,W,-4.5,U,205.0,CHO,2018,2,<=10,Home
"Oct 25, 2017",vs Denver,REG,W,110-93,W,2.5,U,211.5,CHO,2018,4,<=10,Home
"Oct 27, 2017",vs Houston,REG,L,109-93,L,2.5,U,214.5,CHO,2018,5,<=10,Home
"Oct 29, 2017",vs Orlando,REG,W,120-113,W,-4.0,O,210.5,CHO,2018,6,<=10,Home
"Nov 1, 2017",vs Milwaukee,REG,W,126-121,W,-4.0,O,203.0,CHO,2018,8,<=10,Home
"Nov 15, 2017",vs Cleveland,REG,L,115-107,L,0.0,O,219.0,CHO,2018,13,<=25,Home
"Nov 18, 2017",vs LA Clippers,REG,W,102-87,W,-5.0,U,213.0,CHO,2018,15,<=25,Home
"Nov 20, 2017",vs Minnesota,REG,W,118-102,W,-2.5,O,211.0,CHO,2018,16,<=25,Home
"Nov 22, 2017",vs Washington,REG,W,129-124,W,-3.0,O,208.0,CHO,2018,17,<=25,Home
"Nov 25, 2017",vs San Antonio,REG,L,106-86,L,-1.5,U,201.5,CHO,2018,19,<=25,Home
"Dec 4, 2017",vs Orlando,REG,W,104-94,W,-7.5,U,218.5,CHO,2018,22,<=25,Home
"Dec 6, 2017",vs Golden State,REG,L,101-87,L,3.0,U,215.0,CHO,2018,23,<=25,Home
"Dec 8, 2017",vs Chicago,REG,L,119-111,L,-9.5,O,202.5,CHO,2018,24,<=25,Home
"Dec 9, 2017",vs LA Lakers,REG,L,110-99,L,-3.5,U,212.5,CHO,2018,25,<=25,Home
"Dec 15, 2017",vs Miami,REG,L,104-98,L,-5.0,U,203.5,CHO,2018,28,<=40,Home
"Dec 16, 2017",vs Portland,REG,L,93-91,L,-3.5,U,205.5,CHO,2018,29,<=40,Home
"Dec 18, 2017",vs New York,REG,W,109-91,W,-8.5,U,206.0,CHO,2018,30,<=40,Home
"Dec 20, 2017",vs Toronto,REG,L,129-111,L,2.0,O,212.0,CHO,2018,31,<=40,Home
"Dec 23, 2017",vs Milwaukee,REG,W,111-106,W,-4.5,O,206.5,CHO,2018,33,<=40,Home
"Dec 27, 2017",vs Boston,REG,L,102-91,L,1.0,U,207.0,CHO,2018,34,<=40,Home
"Jan 10, 2018",vs Dallas,REG,L,115-111,L,-6.5,O,210.0,CHO,2018,39,<=40,Home
"Jan 12, 2018",vs Utah,REG,W,99-88,W,-4.5,U,206.0,CHO,2018,40,<=40,Home
"Jan 13, 2018",vs Oklahoma City,REG,L,101-91,L,2.0,U,212.0,CHO,2018,41,>40,Home
"Jan 17, 2018",vs Washington,REG,W,133-109,W,-2.0,O,216.0,CHO,2018,43,>40,Home
"Jan 20, 2018",vs Miami,REG,L,106-105,L,-7.0,O,201.0,CHO,2018,44,>40,Home
"Jan 22, 2018",vs Sacramento,REG,W,112-107,L,-10.5,O,212.5,CHO,2018,45,>40,Home
"Jan 24, 2018",vs New Orleans,REG,L,101-96,L,-2.5,U,223.5,CHO,2018,46,>40,Home
"Jan 26, 2018",vs Atlanta,REG,W,121-110,W,-7.0,O,212.0,CHO,2018,47,>40,Home
"Feb 2, 2018",vs Indiana,REG,W,133-126,W,-3.5,O,210.0,CHO,2018,51,>40,Home
"Feb 11, 2018",vs Toronto,REG,L,123-103,L,3.5,O,218.0,CHO,2018,56,>40,Home
"Feb 22, 2018",vs Brooklyn,REG,W,111-96,W,-8.5,U,216.5,CHO,2018,58,>40,Home
"Feb 25, 2018",vs Detroit,REG,W,114-98,W,-4.5,P,212.0,CHO,2018,60,>40,Home
"Feb 27, 2018",vs Chicago,REG,W,118-103,W,-11.0,O,218.5,CHO,2018,61,>40,Home
"Mar 6, 2018",vs Philadelphia,REG,L,128-114,L,1.5,O,215.0,CHO,2018,65,>40,Home
"Mar 8, 2018",vs Brooklyn,REG,L,125-111,L,-7.0,O,217.5,CHO,2018,66,>40,Home
"Mar 10, 2018",vs Phoenix,REG,W,122-115,L,-13.0,O,219.0,CHO,2018,67,>40,Home
"Mar 22, 2018",vs Memphis,REG,W,140-79,W,-8.0,O,215.0,CHO,2018,73,>40,Home
"Mar 26, 2018",vs New York,REG,W,137-128,L,-11.0,O,222.0,CHO,2018,75,>40,Home
"Mar 28, 2018",vs Cleveland,REG,L,118-105,L,-2.0,U,224.5,CHO,2018,76,>40,Home
"Apr 1, 2018",vs Philadelphia,REG,L,119-102,L,2.5,U,222.0,CHO,2018,78,>40,Home
"Apr 8, 2018",vs Indiana,REG,L,123-117,L,1.0,O,214.5,CHO,2018,81,>40,Home
"Oct 17, 2017",vs Boston,REG,W,102-99,L,-4.5,U,216.0,CLE,2018,1,<=10,Home
"Oct 21, 2017",vs Orlando,REG,L,114-93,L,-11.5,U,216.0,CLE,2018,3,<=10,Home
"Oct 24, 2017",vs Chicago,REG,W,119-112,L,-15.5,O,205.5,CLE,2018,4,<=10,Home
"Oct 29, 2017",vs New York,REG,L,114-95,L,-10.5,U,212.5,CLE,2018,7,<=10,Home
"Nov 1, 2017",vs Indiana,REG,L,124-107,L,-10.0,O,217.5,CLE,2018,8,<=10,Home
"Nov 5, 2017",vs Atlanta,REG,L,117-115,L,-11.5,O,220.5,CLE,2018,10,<=10,Home
"Nov 7, 2017",vs Milwaukee,REG,W,124-119,P,-5.0,O,221.5,CLE,2018,11,<=25,Home
"Nov 17, 2017",vs LA Clippers,REG,W,118-113,L,-6.5,O,223.5,CLE,2018,16,<=25,Home
"Nov 22, 2017",vs Brooklyn,REG,W,119-109,L,-11.5,P,228.0,CLE,2018,18,<=25,Home
"Nov 24, 2017",vs Charlotte,REG,W,100-99,L,-5.0,U,217.5,CLE,2018,19,<=25,Home
"Nov 28, 2017",vs Miami,REG,W,108-97,W,-4.0,U,210.0,CLE,2018,21,<=25,Home
"Dec 2, 2017",vs Memphis,REG,W,116-111,L,-11.5,O,205.5,CLE,2018,23,<=25,Home
"Dec 6, 2017",vs Sacramento,REG,W,101-95,L,-12.5,U,210.0,CLE,2018,25,<=25,Home
"Dec 9, 2017",vs Philadelphia,REG,W,105-98,W,-5.5,U,220.5,CLE,2018,27,<=40,Home
"Dec 12, 2017",vs Atlanta,REG,W,123-114,L,-12.0,O,215.0,CLE,2018,28,<=40,Home
"Dec 14, 2017",vs LA Lakers,REG,W,121-112,L,-10.0,O,220.5,CLE,2018,29,<=40,Home
"Dec 16, 2017",vs Utah,REG,W,109-100,L,-9.5,U,212.0,CLE,2018,30,<=40,Home
"Dec 21, 2017",vs Chicago,REG,W,115-112,L,-10.0,O,216.0,CLE,2018,33,<=40,Home
"Jan 2, 2018",vs Portland,REG,W,127-110,W,-8.5,O,216.5,CLE,2018,37,<=40,Home
"Jan 15, 2018",vs Golden State,REG,L,118-108,L,5.5,U,233.5,CLE,2018,43,>40,Home
"Jan 18, 2018",vs Orlando,REG,W,104-103,L,-11.5,U,227.5,CLE,2018,44,>40,Home
"Jan 20, 2018",vs Oklahoma City,REG,L,148-124,L,-2.5,O,219.5,CLE,2018,45,>40,Home
"Jan 26, 2018",vs Indiana,REG,W,115-108,W,-6.0,P,223.0,CLE,2018,47,>40,Home
"Jan 28, 2018",vs Detroit,REG,W,121-104,W,-7.5,O,219.0,CLE,2018,48,>40,Home
"Jan 31, 2018",vs Miami,REG,W,91-89,L,-2.5,U,217.5,CLE,2018,50,>40,Home
"Feb 3, 2018",vs Houston,REG,L,120-88,L,4.0,U,232.0,CLE,2018,51,>40,Home
"Feb 7, 2018",vs Minnesota,REG,W,140-138,W,3.5,O,225.5,CLE,2018,53,>40,Home
"Feb 22, 2018",vs Washington,REG,L,110-103,L,-6.5,U,221.5,CLE,2018,57,>40,Home
"Feb 25, 2018",vs San Antonio,REG,L,110-94,L,-4.5,U,213.0,CLE,2018,59,>40,Home
"Feb 27, 2018",vs Brooklyn,REG,W,129-123,L,-10.5,O,222.0,CLE,2018,60,>40,Home
"Mar 1, 2018",vs Philadelphia,REG,L,108-97,L,-3.0,U,222.0,CLE,2018,61,>40,Home
"Mar 3, 2018",vs Denver,REG,L,126-117,L,-4.5,O,228.5,CLE,2018,62,>40,Home
"Mar 5, 2018",vs Detroit,REG,W,112-90,W,-6.0,U,220.5,CLE,2018,63,>40,Home
"Mar 19, 2018",vs Milwaukee,REG,W,124-117,W,-2.5,O,226.0,CLE,2018,70,>40,Home
"Mar 21, 2018",vs Toronto,REG,W,132-129,W,2.0,O,225.0,CLE,2018,71,>40,Home
